tiempo,fase,duracion,ciclo,cola_v,cola_p,extension,tiempo_total,motivo
2370.0,VERDE_VEHICULAR_EXTENSION,5,46,9,10,4.0,40.0,
2375.0,VERDE_VEHICULAR_EXTENSION,5,46,10,11,5.0,45.0,
2380.0,VERDE_VEHICULAR_EXTENSION,5,46,10,11,6.0,50.0,
2385.0,VERDE_VEHICULAR_EXTENSION,5,46,9,11,7.0,55.0,
2390.0,VERDE_VEHICULAR_EXTENSION,5,46,6,11,8.0,60.0,
2395.0,AMARILLO_VEHICULAR,3,46,7,12,,,
2398.0,VERDE_PEATONAL,15,46,8,12,,,COLA_PEATONAL_ALTA
2413.0,AMARILLO_PEATONAL,3,46,13,0,,,
2416.0,VERDE_VEHICULAR_INICIAL,20,47,13,0,0.0,20.0,
2436.0,VERDE_VEHICULAR_EXTENSION,5,47,12,3,1.0,25.0,
2441.0,VERDE_VEHICULAR_EXTENSION,5,47,12,3,2.0,30.0,
2446.0,VERDE_VEHICULAR_EXTENSION,5,47,8,3,3.0,35.0,
2451.0,VERDE_VEHICULAR_EXTENSION,5,47,8,3,4.0,40.0,
2456.0,VERDE_VEHICULAR_EXTENSION,5,47,7,5,5.0,45.0,
2461.0,VERDE_VEHICULAR_EXTENSION,5,47,5,5,6.0,50.0,
2466.0,VERDE_VEHICULAR_EXTENSION,5,47,5,7,7.0,55.0,
2471.0,VERDE_VEHICULAR_EXTENSION,5,47,5,9,8.0,60.0,
2476.0,AMARILLO_VEHICULAR,3,47,2,9,,,
2479.0,VERDE_PEATONAL,15,47,2,9,,,COLA_PEATONAL_ALTA
2494.0,AMARILLO_PEATONAL,3,47,4,1,,,
2497.0,VERDE_VEHICULAR_INICIAL,20,48,6,2,0.0,20.0,
2517.0,VERDE_VEHICULAR_EXTENSION,5,48,6,4,1.0,25.0,
2522.0,AMARILLO_VEHICULAR,3,48,2,5,,,
2525.0,VERDE_PEATONAL,15,48,4,6,,,COLA_PEATONAL_ALTA
2540.0,AMARILLO_PEATONAL,3,48,10,0,,,
2543.0,VERDE_VEHICULAR_INICIAL,20,49,11,0,0.0,20.0,
2563.0,VERDE_VEHICULAR_EXTENSION,5,49,11,6,1.0,25.0,
2568.0,VERDE_VEHICULAR_EXTENSION,5,49,9,6,2.0,30.0,
2573.0,VERDE_VEHICULAR_EXTENSION,5,49,9,6,3.0,35.0,
2578.0,VERDE_VEHICULAR_EXTENSION,5,49,11,6,4.0,40.0,
2583.0,VERDE_VEHICULAR_EXTENSION,5,49,12,6,5.0,45.0,
2588.0,VERDE_VEHICULAR_EXTENSION,5,49,13,6,6.0,50.0,
